Place,Date,Vehicles Involved,Fatalities,Injuries,Cause
in Dinajpur, 2022,"motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle, motorcycle",4,0,Unknown
on Dhaka-Tangail, 19,"truck, autorickshaw, truck, autorickshaw, autorickshaw, autorickshaw, motorcycle",3,3,Unknown
at Temukhi, 15,"bus, bus, bus, bus",1,1,Unknown
in Chattogram,", 10","car, truck, car",0,3,Unknown
in Sitakunda, 10,"truck, truck, truck, truck",2,3,Unknown
in Mithamoin,45,"motorcycle, motorcycle, motorcycle",3,3,Unknown
in Bogura,", 45","truck, motorcycle, truck",3,0,Unknown
on Thursday,",13",,2,0,Unknown
in Dhaka,", 34",,5,0,Unknown
at Kalihati,", 70","truck, bus, autorickshaw",2,2,Unknown
on Saturday,", 25","motorcycle, motorcycle",2,2,Unknown
in Noakhali,", 30","autorickshaw, truck, truck, truck",2,3,Unknown
on Chattogram-Cox,", 35",,3,3,Unknown
on Bangabandhu Expressway, 12,"bus, bus, bus, bus, bus, bus, truck",2,2,Unknown
on Dhaka-Chattogram,-64,,4,0,Unknown
on Ishwardi-Baneshwar,", 65","truck, truck, bus, autorickshaw",1,3,Unknown
in Mexico, 16,"bus, bus, truck, bus, truck, truck, bus, truck",3,2,Unknown
in West Kaunia,59,"truck, truck, truck, truck, truck",5,0,Unknown
on Dhaka-Sylhet, 10,"truck, truck, truck, truck",6,7,Unknown
on Dhaka-Khulna Highway,", 50","bus, bus, truck, bus, bus",3,0,Unknown
in Chapainawabganj,27,"truck, truck, autorickshaw, truck",4,2,Unknown
on Dhaka-Mawa Expressway, 12,"bus, truck, bus, truck, bus, truck",4,3,Unknown
on Thursday,37,"motorcycle, truck, motorcycle, truck",3,2,Unknown
in Narayanganj,15,,1,2,Unknown
on Dhaka-Chattogram,", 35","autorickshaw, bus, bus, bus",3,1,Unknown
at Golchattar,30,"truck, truck, truck, truck, truck",3,0,Unknown
in Khyber Pakhtunkhwa, 16,"car, car, car, car, car, car, car, car, car, car, car, car, car, car",1,1,Unknown
at Chashara, 24,"truck, truck, truck, bus, car, truck, bus, car",7,3,Unknown
at Salutikar,", 35",bus,8,2,Unknown
at Demra, 25,motorcycle,4,1,Unknown
on Hanif, 55,"bus, bus, motorcycle",5,4,Unknown
in Adamdighi,", 45","bus, truck, truck, truck",6,2,Unknown
at Sholoshohor,", 58","bus, bus",2,1,Unknown
on Bogura-Rangpur,", 15","bus, bus",3,3,Unknown
